forecast_dateunix,forecast_datestring,name,rain_category,rain_category_value,temp,temp_min,temp_max,temp_humidity,weather class,weather description
1688569200,2023-07-05 15:00:00,cire,no rain,0,28.86,26.98,28.86,60,clear,clear sky
1688580000,2023-07-05 18:00:00,cire,no rain,0,28.86,28.86,28.86,56,clear,clear sky
1688590800,2023-07-05 21:00:00,cire,no rain,0,29.24,29.24,29.43,53,clear,clear sky
1688601600,2023-07-06 00:00:00,cire,no rain,0,26.95,26.95,26.95,61,clouds,scattered clouds
1688612400,2023-07-06 03:00:00,cire,no rain,0,24.98,24.98,24.98,67,clouds,broken clouds
1688623200,2023-07-06 06:00:00,cire,no rain,0,22.92,22.92,22.92,75,clouds,scattered clouds
1688634000,2023-07-06 09:00:00,cire,no rain,0,21.96,21.96,21.96,76,clouds,few clouds
1688644800,2023-07-06 12:00:00,cire,no rain,0,23.34,23.34,23.34,67,clouds,few clouds
1688655600,2023-07-06 15:00:00,cire,no rain,0,26.41,26.41,26.41,58,clouds,broken clouds
1688666400,2023-07-06 18:00:00,cire,no rain,0,28.16,28.16,28.16,55,clouds,broken clouds
1688677200,2023-07-06 21:00:00,cire,rain,1,25.9,25.9,25.9,70,rain,light rain
1688688000,2023-07-07 00:00:00,cire,rain,1,25.74,25.74,25.74,70,rain,light rain
1688698800,2023-07-07 03:00:00,cire,rain,1,22.4,22.4,22.4,86,rain,light rain
1688709600,2023-07-07 06:00:00,cire,rain,1,19.92,19.92,19.92,95,rain,light rain
1688720400,2023-07-07 09:00:00,cire,rain,1,18.49,18.49,18.49,92,rain,light rain
1688731200,2023-07-07 12:00:00,cire,no rain,0,18.55,18.55,18.55,85,clouds,broken clouds
1688742000,2023-07-07 15:00:00,cire,no rain,0,23.4,23.4,23.4,61,clouds,overcast clouds
1688752800,2023-07-07 18:00:00,cire,no rain,0,26.01,26.01,26.01,49,clouds,scattered clouds
1688763600,2023-07-07 21:00:00,cire,no rain,0,27.08,27.08,27.08,41,clear,clear sky
1688774400,2023-07-08 00:00:00,cire,no rain,0,24.62,24.62,24.62,55,clear,clear sky
1688785200,2023-07-08 03:00:00,cire,no rain,0,20.53,20.53,20.53,68,clouds,scattered clouds
1688796000,2023-07-08 06:00:00,cire,no rain,0,18.76,18.76,18.76,75,clouds,scattered clouds
1688806800,2023-07-08 09:00:00,cire,no rain,0,17.77,17.77,17.77,81,clouds,overcast clouds
1688817600,2023-07-08 12:00:00,cire,no rain,0,19.27,19.27,19.27,73,clouds,overcast clouds
1688828400,2023-07-08 15:00:00,cire,no rain,0,22.69,22.69,22.69,55,clouds,overcast clouds
1688839200,2023-07-08 18:00:00,cire,no rain,0,25.54,25.54,25.54,45,clouds,overcast clouds
1688850000,2023-07-08 21:00:00,cire,rain,1,24.85,24.85,24.85,53,rain,light rain
1688860800,2023-07-09 00:00:00,cire,rain,1,23.69,23.69,23.69,61,rain,light rain
1688871600,2023-07-09 03:00:00,cire,no rain,0,21.6,21.6,21.6,70,clouds,broken clouds
1688882400,2023-07-09 06:00:00,cire,no rain,0,19.66,19.66,19.66,65,clouds,broken clouds
1688893200,2023-07-09 09:00:00,cire,no rain,0,18.5,18.5,18.5,60,clouds,overcast clouds
1688904000,2023-07-09 12:00:00,cire,no rain,0,19.75,19.75,19.75,60,clouds,overcast clouds
1688914800,2023-07-09 15:00:00,cire,no rain,0,23.82,23.82,23.82,46,clouds,overcast clouds
1688925600,2023-07-09 18:00:00,cire,no rain,0,24.96,24.96,24.96,44,clouds,overcast clouds
1688936400,2023-07-09 21:00:00,cire,no rain,0,25.55,25.55,25.55,45,clouds,overcast clouds
1688947200,2023-07-10 00:00:00,cire,no rain,0,23.82,23.82,23.82,54,clouds,broken clouds
1688958000,2023-07-10 03:00:00,cire,no rain,0,21.87,21.87,21.87,59,clear,clear sky
